"id","name","price","city","marka","model","color","memory","simkart"
"160","Samsung Galaxy S20 FE Cloud Lavender 128GB/6GB","900","Gəncə","Samsung","Galaxy S20 FE","Cloud Lavender","128GB/6GB","Dual SIM"
"161","Samsung Galaxy S10+ Prism Blue 128GB/8GB","900","Gəncə","Samsung","Galaxy S10+","Prism Blue","128GB/8GB","Dual SIM"
"162","Xiaomi Redmi Note 9S Aurora Blue 128GB/6GB","290","Gəncə","Xiaomi","Redmi Note 9S","Aurora Blue","128GB/6GB","Bəli"
"163","Samsung Galaxy A31 Prism Crush Black 64GB/4GB","360","Gəncə","Samsung","Galaxy A31","Prism Crush Black","64GB/4GB","Bəli"
"164","Samsung Galaxy A31 Prism Crush Black 128GB/4GB","300","Gəncə","Samsung","Galaxy A31","Prism Crush Black","128GB/4GB","Dual SIM"
"165","Apple iPhone 7 Gold 32GB","299","Gəncə","Apple iPhone","7","Gold","32GB","null"
"166","Xiaomi Mi 9T Pro Red flame 128GB/6GB","500","Gəncə","Xiaomi","Mi 9T Pro","Red flame","128GB/6GB","null"
"167","Nokia 8800 Silver","70","Gəncə","Nokia","8800","Silver","null","null"
"168","Samsung Galaxy A10 Red 32GB/2GB","160","Gəncə","Samsung","Galaxy A10","Red","32GB/2GB","Dual SIM"
"169","Apple iPhone XR White 64GB/3GB","670","Gəncə","Apple iPhone","XR","White","64GB/3GB","Bəli"
"170","Xiaomi Redmi Note 9S Aurora Blue 128GB/6GB","200","Gəncə","Xiaomi","Redmi Note 9S","Aurora Blue","128GB/6GB","Bəli"
"171","Xiaomi Mi 10T 5G Lunar Silver 128GB/8GB","775","Gəncə","Xiaomi","Mi 10T 5G","Lunar Silver","128GB/8GB","Bəli"
"172","Samsung Galaxy A52 Awesome Blue 128GB/6GB","410","Gəncə","Samsung","Galaxy A52","Awesome Blue","128GB/6GB","Dual SIM"
"173","Telefon ""Motorola""","15","Gəncə","Motorola","Digər","null","null","null"
"174","Samsung Galaxy J2 (2018) Black 16GB/2GB","110","Gəncə","Samsung","Galaxy J2 (2018)","Black","16GB/2GB","null"
"175","Xiaomi Redmi 9 Black 64GB/4GB","240","Gəncə","Xiaomi","Redmi 9","Black","64GB/4GB","Bəli"
"176","Samsung Galaxy A21s Red 32GB/3GB","230","Gəncə","Samsung","Galaxy A21s","Red","32GB/3GB","Dual SIM"
"177","Qulaqlıq","40","Gəncə","Aksesuarlar","Bəli","null","null","null"
"178","Samsung Galaxy J2 (2017) Gold 8GB/1GB","60","Gəncə","Samsung","Galaxy J2 (2017)","Gold","8GB/1GB","Bəli"
"179","Samsung Galaxy A31 Prism Crush Black 64GB/4GB","325","Gəncə","Samsung","Galaxy A31","Prism Crush Black","64GB/4GB","Dual SIM"
"180","Apple iPhone XR Red 128GB/3GB","650","Gəncə","Apple iPhone","XR","Red","128GB/3GB","null"
"181","Samsung Galaxy A40 Blue 64GB/4GB","220","Gəncə","Samsung","Galaxy A40","Blue","64GB/4GB","Dual SIM"
"182","Xiaomi Redmi 3s Silver 16GB/2GB","80","Gəncə","Xiaomi","Redmi 3s","Silver","16GB/2GB","Bəli"
"183","Xiaomi Redmi Note 8 Pro Pearl White 64GB/6GB","350","Gəncə","Xiaomi","Redmi Note 8 Pro","Pearl White","64GB/6GB","null"
"184","Apple iPhone 6S Space Gray 16GB","90","Gəncə","Apple iPhone","6S","Space Gray","16GB","null"
"185","Nokia 1202 Violet Blue","30","Gəncə","Nokia","1202","Violet Blue","Bəli","null"
"186","Xiaomi Redmi 9T Carbon Gray 128GB/4GB","250","Gəncə","Xiaomi","Redmi 9T","Carbon Gray","128GB/4GB","null"
"187","Samsung Galaxy A10s Blue 32GB/3GB","170","Gəncə","Samsung","Galaxy A10s","Blue","32GB/3GB","Dual SIM"
"188","Apple iPhone 6 Silver 16GB","110","Gəncə","Apple iPhone","6","Silver","16GB","null"
"189","Qulaqlıq ""AirPod""","35","Gəncə","Aksesuarlar","Bəli","Bəli","null","null"
"190","Apple iPhone 6S Rose Gold 128GB","170","Gəncə","Apple iPhone","6S","Rose Gold","128GB","Bəli"
"191","Samsung Galaxy Note9 Ocean Blue 128GB/6GB","530","Gəncə","Samsung","Galaxy Note 9","Ocean Blue","128GB/6GB","Dual SIM"
"192","Xiaomi Redmi Note 9 Forest Green 64GB/4GB","240","Gəncə","Xiaomi","Redmi Note 9","Forest Green","64GB/4GB","Bəli"
"193","Xiaomi Redmi 9 Carbon Gray 64GB/4GB","240","Gəncə","Xiaomi","Redmi 9","Carbon Gray","64GB/4GB","null"
"194","Xiaomi Redmi Note 6 Pro Black 32GB/3GB","200","Gəncə","Xiaomi","Redmi Note 6 Pro","Black","32GB/3GB","null"
"195","Nokia 6700 Gold","60","Gəncə","Nokia","6700","Gold","null","null"
"196","Xiaomi Mi 3 Yellow 64GB/2GB","200","Gəncə","Xiaomi","Mi 3","Yellow","64GB/2GB","null"
"197","Apple iPhone 6S Silver 16GB","200","Gəncə","Apple iPhone","6S","Silver","16GB","null"
"198","Samsung Galaxy S9+ Titanium Gray 64GB/6GB","570","Gəncə","Samsung","Galaxy S9+","Titanium Gray","64GB/6GB","Dual SIM"
"199","Apple iPhone 6 Silver 16GB","25","Gəncə","Apple iPhone","6","Silver","16GB","null"
"200","Samsung Galaxy A10 Blue 32GB/4GB","150","Gəncə","Samsung","Galaxy A10","Blue","32GB/4GB","Dual SIM"
"201","Xiaomi Redmi 8 Onyx Black 64GB/4GB","200","Gəncə","Xiaomi","Redmi 8","Onyx Black","64GB/4GB","Bəli"
"202","Apple iPhone 5S Space Gray 16GB","60","Gəncə","Apple iPhone","5S","Space Gray","16GB","null"
"203","Xiaomi Mi 11 Lite Boba Black 128GB/6GB","550","Gəncə","Xiaomi","Mi 11 Lite","Boba Black","128GB/6GB","Bəli"
"204","Apple iPhone X Silver 64GB/3GB","660","Gəncə","Apple iPhone","X","Silver","64GB/3GB","null"
"205","Samsung Galaxy J2 (2016) Black 8GB/1.5GB","75","Gəncə","Samsung","Galaxy J2 (2016)","Black","8GB/1.5GB","null"
"206","Samsung Galaxy Ace 4 Iris Charcoal 4GB","30","Gəncə","Samsung","Galaxy Ace 4","Iris Charcoal","4GB","null"
"207","Apple iPhone 6S Silver 64GB","205","Gəncə","Apple iPhone","6S","Silver","64GB","Bəli"
"208","Xiaomi Redmi Note 8T Starscape Blue 32GB/3GB","175","Gəncə","Xiaomi","Redmi Note 8T","Starscape Blue","32GB/3GB","Bəli"
"209","Samsung Galaxy A71 Prism Crush Black 128GB/6GB","450","Gəncə","Samsung","Galaxy A71","Prism Crush Black","128GB/6GB","Dual SIM"
"210","Xiaomi Redmi AirDots 2","30","Gəncə","Aksesuarlar","Bəli","null","null","null"
"211","Samsung Galaxy A51 Prism Crush Black 128GB/6GB","280","Gəncə","Samsung","Galaxy A51","Prism Crush Black","128GB/6GB","Dual SIM"
"212","Xiaomi Redmi 9T Carbon Gray 128GB/4GB","250","Gəncə","Xiaomi","Redmi 9T","Carbon Gray","128GB/4GB","Bəli"
"213","AirPods 2","120","Gəncə","Aksesuarlar","null","null","null","null"
"214","Apple iPhone 5S Gold 16GB","95","Gəncə","Apple iPhone","5S","Gold","16GB","null"
"215","Xiaomi Redmi Note 9 Midnight Gray 128GB/4GB","229","Gəncə","Xiaomi","Redmi Note 9","Midnight Gray","128GB/4GB","Bəli"
"216","Telefon arxalıqları","5","Gəncə","Aksesuarlar","null","null","null","null"
"217","AirPods","30","Gəncə","Aksesuarlar","null","null","null","null"
"218","Adapter","8","Gəncə","Aksesuarlar","null","null","null","null"
"219","Qulaqlıq ","7","Gəncə","Aksesuarlar","null","null","null","null"
"220","Powerbank","10","Gəncə","Aksesuarlar","null","null","null","null"
"221","Samsung Galaxy A8 (2018) Black 32GB/4GB","240","Gəncə","Samsung","Galaxy A8 (2018)","Black","32GB/4GB","null"
"222","Samsung Galaxy A12 Black 64GB/4GB","230","Gəncə","Samsung","Galaxy A12","Black","64GB/4GB","Dual SIM"
"223","Samsung Galaxy S10+ Prism Black 128GB/8GB","700","Gəncə","Samsung","Galaxy S10+","Prism Black","128GB/8GB","Dual SIM"
"224","Apple iPhone 11 White 64GB/4GB","1 100","Gəncə","Apple iPhone","11","White","64GB/4GB","null"
"225","Apple iPhone 7 Black 32GB","340","Gəncə","Apple iPhone","7","Black","32GB","null"
"226","Apple iPhone 8 Plus Silver 256GB","500","Gəncə","Apple iPhone","8 Plus","Silver","256GB","null"
"227","Apple iPhone 8 Plus Silver 64GB","500","Gəncə","Apple iPhone","8 Plus","Silver","64GB","null"
"228","Apple iPhone 7 Silver 128GB","300","Gəncə","Apple iPhone","7","Silver","128GB","null"
"229","Apple iPhone SE (2020) Red 64GB/3GB","600","Gəncə","Apple iPhone","SE (2020)","Red","64GB/3GB","null"
"230","Samsung Galaxy A21s Black 32GB/3GB","220","Gəncə","Samsung","Galaxy A21s","Black","32GB/3GB","Dual SIM"
"231","Samsung Galaxy A40 Black 64GB/4GB","280","Gəncə","Samsung","Galaxy A40","Black","64GB/4GB","Dual SIM"
"232","Xiaomi Redmi Note 8 Pro Mineral Gray 64GB/6GB","300","Gəncə","Xiaomi","Redmi Note 8 Pro","Mineral Gray","64GB/6GB","null"
"233","Samsung Galaxy J4 Black 16GB/2GB","90","Gəncə","Samsung","Galaxy J4","Black","16GB/2GB","null"
"234","Samsung Galaxy A3 (2017) Black Sky 16GB/2GB","65","Gəncə","Samsung","Galaxy A3 (2017)","Black Sky","16GB/2GB","null"
"235","Samsung Galaxy A12 Black 32GB/3GB","220","Gəncə","Samsung","Galaxy A12","Black","32GB/3GB","Dual SIM"
"236","Samsung Galaxy J2 (2018) Gold 16GB/2GB","110","Gəncə","Samsung","Galaxy J2 (2018)","Gold","16GB/2GB","null"
"237","Apple iPhone 6 Gold 16GB","190","Gəncə","Apple iPhone","6","Gold","16GB","null"
"238","Samsung Galaxy J1 (2016) White 8GB/1GB","25","Gəncə","Samsung","Galaxy J1 (2016)","White","8GB/1GB","Dual SIM"
"239","Qulaqlıq ""Baseus""","40","Gəncə","Aksesuarlar","null","null","null","null"
"240","Hisense Infinity H12 Blue 32GB/4GB","20","Gəncə","Hisense","Infinity H12","Blue","32GB/4GB","null"
"241","Apple iPhone 6S Space Gray 16GB","180","Gəncə","Apple iPhone","6S","Space Gray","16GB","null"
"242","Apple iPhone X Silver 64GB/3GB","580","Gəncə","Apple iPhone","X","Silver","64GB/3GB","null"
"243","Xiaomi Mi 10 Pro 5G Solstice Gray 256GB/8GB","700","Gəncə","Xiaomi","Mi 10 Pro 5G","Solstice Gray","256GB/8GB","Dual SIM"
"244","Nokia 8800 Silver","400","Gəncə","Nokia","8800","Silver","Bəli","Bəli"
"245","Nokia 8800 Black","300","Gəncə","Nokia","8800","Black","null","null"
"246","Nokia 8800 Arte","280","Gəncə","Nokia","8800 Arte","null","null","null"
"247","Samsung Galaxy A31 Prism Crush Black 64GB/4GB","320","Gəncə","Samsung","Galaxy A31","Prism Crush Black","64GB/4GB","Dual SIM"
"248","Samsung Galaxy J4+ Black 32GB/2GB","140","Gəncə","Samsung","Galaxy J4+","Black","32GB/2GB","Bəli"
"249","""Samsung Galaxy A51"" qutusu","15","Gəncə","Aksesuarlar","Bəli","Bəli","null","null"
"250","Huawei P30 Lite Peacock Blue 128GB/4GB","200","Gəncə","Huawei","P30 Lite","Peacock Blue","128GB/4GB","Bəli"
"251","Samsung Galaxy A12 Black 64GB/4GB","280","Gəncə","Samsung","Galaxy A12","Black","64GB/4GB","Bəli"
"252","Samsung Galaxy A52 Awesome Black 256GB/8GB","550","Gəncə","Samsung","Galaxy A52","Awesome Black","256GB/8GB","Dual SIM"
"253","Siemens M 35","35","Gəncə","Siemens","null","null","null","null"
"254","Xiaomi Mi 11 Lite Bubblegum Blue 128GB/6GB","600","Gəncə","Xiaomi","Mi 11 Lite","Bubblegum Blue","128GB/6GB","null"
"255","Samsung Galaxy J3 (2017) Black 16GB/2GB","120","Gəncə","Samsung","Galaxy J3 (2017)","Black","16GB/2GB","Dual SIM"
"256","Xiaomi Redmi 9A Carbon Gray 32GB/2GB","190","Gəncə","Xiaomi","Redmi 9A","Carbon Gray","32GB/2GB","null"
"257","Samsung Galaxy S20 FE Cloud Navy 128GB/6GB","900","Gəncə","Samsung","Galaxy S20 FE","Cloud Navy","128GB/6GB","Dual SIM"
"258","Nokia 105 Black","20","Gəncə","Nokia","105","Black","null","null"
"259","""Apple iPhone 6,6s"" case","5","Gəncə","Aksesuarlar","Bəli","Bəli","null","null"
"260","Apple iPhone 7 Rose Gold 32GB","280","Gəncə","Apple iPhone","7","Rose Gold","32GB","Bəli"
"261","Apple iPhone 12 Pro Max Pacific Blue 128GB/6GB","2 500","Gəncə","Apple iPhone","12 Pro Max","Pacific Blue","128GB/6GB","null"
"262","Apple iPhone 11 Pro Max Midnight Green 64GB/4GB","1 380","Gəncə","Apple iPhone","11 Pro Max","Midnight Green","64GB/4GB","Dual SIM"
"263","Xiaomi Redmi Note 8 Space Black 64GB/4GB","205","Gəncə","Xiaomi","Redmi Note 8","Space Black","64GB/4GB","null"
"264","Samsung Galaxy S9 Midnight Black 64GB/4GB","100","Gəncə","Samsung","Galaxy S9","Midnight Black","128GB/4GB","null"
"265","Samsung Galaxy A20s Red 32GB/3GB","280","Gəncə","Samsung","Galaxy A20s","Red","32GB/3GB","Dual SIM"
"266","Samsung Galaxy A41 Prism Crush Black 64GB/4GB","300","Gəncə","Samsung","Galaxy A41","Prism Crush Black","64GB/4GB","Dual SIM"
"267","Telefon ""Lenovo""","60","Gəncə","Lenovo","Digər","null","null","null"
"268","Samsung Galaxy A52 Awesome Black 128GB/4GB","570","Gəncə","Samsung","Galaxy A52","Awesome Black","128GB/4GB","Dual SIM"
"269","Xiaomi Redmi Note 7 Black 64GB/4GB","180","Gəncə","Xiaomi","Redmi Note 7","Black","64GB/4GB","Bəli"
"270","Honor 8A Prime Green 64GB/3GB","270","Gəncə","Honor","8A Prime","Green","64GB/3GB","Bəli"
"271","Apple AirPods Pro","300","Gəncə","Aksesuarlar","Bəli","null","null","null"
"272","Samsung Galaxy A3 Pearl White 16GB/1.5GB","20","Gəncə","Samsung","Galaxy A3","Pearl White","16GB/1.5GB","null"
"273","AirPods","40","Gəncə","Aksesuarlar","null","null","null","null"
"274","Xiaomi Redmi S2 Rose Gold 32GB/3GB","160","Gəncə","Xiaomi","Redmi S2","Rose Gold","32GB/3GB","null"
"275","Apple iPhone X Space Gray 256GB/3GB","800","Gəncə","Apple iPhone","X","Space Gray","256GB/3GB","null"
"276","Apple iPhone 6 Plus Space Gray 16GB","170","Gəncə","Apple iPhone","6 Plus","Space Gray","16GB","Bəli"
"277","Xiaomi Poco M3 Power Black 64GB/4GB","229","Gəncə","Xiaomi","Poco M3","Power Black","64GB/4GB","Bəli"
"278","Xiaomi Redmi Note 9 Forest Green 128GB/4GB","230","Gəncə","Xiaomi","Redmi Note 9","Forest Green","128GB/4GB","Bəli"
"279","Samsung Galaxy A32 Awesome Blue 64GB/4GB","355","Gəncə","Samsung","Galaxy A32","Awesome Blue","64GB/4GB","Bəli"
"280","Samsung Galaxy A6+ (2018) Gold 32GB/3GB","180","Gəncə","Samsung","Galaxy A6+ (2018)","Gold","32GB/3GB","Dual SIM"
"281","Xiaomi Poco M3 Power Black 64GB/4GB","400","Gəncə","Xiaomi","Poco M3","Power Black","64GB/4GB","Bəli"
"282","Xiaomi Poco M3 Cool Blue 64GB/4GB","300","Gəncə","Xiaomi","Poco M3","Cool Blue","64GB/4GB","null"
"283","Samsung Galaxy A20 Deep Blue 32GB/3GB","170","Gəncə","Samsung","Galaxy A20","Deep Blue","32GB/3GB","Dual SIM"
"284","Telefon ""Samsung""","20","Gəncə","Samsung","Digər","null","null","null"
"285","""Samsung Galaxy Tab A7"" platası","100","Gəncə","Ehtiyat hissələri","null","null","null","null"
"286","Samsung Galaxy S9 Midnight Black 64GB/4GB","320","Gəncə","Samsung","Galaxy S9","Midnight Black","64GB/4GB","Dual SIM"
"287","Samsung Galaxy J2 (2018) Black 16GB/2GB","259","Gəncə","Samsung","Galaxy J2 (2018)","Black","16GB/2GB","Bəli"
"288","Telefon arxalıqları","8","Gəncə","Aksesuarlar","null","null","null","null"
"289","Anti udar","1,50","Gəncə","Aksesuarlar","Bəli","null","null","null"
"290","Nokia 8000 ","100","Gəncə","Nokia","Digər","null","null","null"
"291","Telefon ""Motorola""","100","Gəncə","Motorola","Digər","null","null","null"
"292","""Samsung"" üçün arxalıqlar","5","Gəncə","Aksesuarlar","Bəli","Bəli","null","null"
"293","""Apple iPhone"" arxalığı","1","Gəncə","Aksesuarlar","null","null","null","null"
"294","V-Mobile","50","Gəncə","Digər","Bəli","null","null","null"
"295","Qulaqlıq ""Airpods""","120","Gəncə","Aksesuarlar","null","null","null","null"
"296","Telefon arxalığı","5","Gəncə","Aksesuarlar","Bəli","null","null","null"
"297","Nokia 8910 Black","350","Gəncə","Nokia","8910","Black","null","null"
"298","Nokia 8800 Sirocco Black","300","Gəncə","Nokia","8800 Sirocco","Black","null","null"
"299","Samsung Galaxy A8 (2018) Black 64GB/4GB","160","Gəncə","Samsung","Galaxy A8 (2018)","Black","64GB/4GB","Bəli"
"300","21D Şüşə","2","Gəncə","Aksesuarlar","Bəli","null","null","null"
"301","""Explay"" telefonu","12","Gəncə","Digər","null","null","null","null"
"302","Samsung Galaxy J1 (2016) Gold 8GB/1GB","235","Gəncə","Samsung","Galaxy J1 (2016)","Gold","8GB/1GB","Dual SIM"
"303","Sony Ericsson K750 Black","110","Gəncə","Sony Ericsson","K750","Black","null","null"
"304","""QCY T7"" Bluetooth qulaqlıq ","40","Gəncə","Aksesuarlar","Bəli","null","null","null"
"305","Telefon ""Nokia""","39","Gəncə","Nokia","Digər","null","null","null"
"306","Xiaomi Redmi Note 8 Space Black 128GB/6GB","400","Gəncə","Xiaomi","Redmi Note 8","Space Black","128GB/6GB","Bəli"
"307","Sim kart ötürücü","6","Gəncə","Aksesuarlar","Bəli","Bəli","null","null"
"308","""Apple iPhone"" adapteri","25","Gəncə","Aksesuarlar","null","null","null","null"
"309","Telefon ""Bakcell"" ","5","Gəncə","Ehtiyat hissələri","null","null","null","null"
"310","Oukitel L3","25","Gəncə","Oukitel","Digər","Bəli","null","null"
"311","Bluetooth qulaqlıq ","18","Gəncə","Aksesuarlar","null","null","null","null"
"312","Bluetooth qulaqlıq","11","Gəncə","Aksesuarlar","Bəli","null","null","null"
"313","Qoruyucu şüşə","5","Gəncə","Aksesuarlar","Bəli","null","null","null"
"314","Nokia 2690","33","Gəncə","Nokia","2690","null","null","null"
"315","""Xiaomi Redmi Note 5"" sensoru","45","Gəncə","Ehtiyat hissələri","Bəli","null","null","null"
"316","Bluetooth qulaqlıq","10","Gəncə","Aksesuarlar","null","null","null","null"
"317","Bluetooth qulaqlıq","12","Gəncə","Aksesuarlar","null","null","null","null"
"318","Bluetooth qulaqlıq ","12","Gəncə","Aksesuarlar","null","null","null","null"
"319","Bluetooth qulaqlıq","20","Gəncə","Aksesuarlar","null","null","null","null"
"320","""Samsung"" telefonların arxalıqları","5","Gəncə","Aksesuarlar","Bəli","null","null","null"
"321","""Umi Rome X"" ekranı","50","Gəncə","Ehtiyat hissələri","Bəli","null","null","null"
"322","""Xiaomi Redmi 4X"" üçün ekran və sensor ","45","Gəncə","Ehtiyat hissələri","Bəli","null","null","null"
"323","""Umi London"" sensoru","20","Gəncə","Ehtiyat hissələri","Bəli","null","null","null"
"324","Xiaomi modelləri üçün qoruyucu şüşə ","5","Gəncə","Aksesuarlar","Bəli","null","null","null"
"325","""Umi Rome x Gold"" sensoru","18","Gəncə","Ehtiyat hissələri","Bəli","null","null","null"
"326","Samsung Galaxy Note 3 ","200","Gəncə","Samsung","Galaxy Note 3","Black","16GB/3GB","null"
